Models,Tess loss,Test Accuracy,Precision,Recall,F1 score,ROC AUC Score
CNN model,0.5527244210243225,0.7692307829856873,0.7779876373626373,0.7692307692307693,0.7710560625814863,0.8390937019969278
Resnet Model,0.6031351685523987,0.6538461446762085,0.7321714743589743,0.6538461538461539,0.573398247322298,0.8452380952380952
Efficient_net Model,0.695654571056366,0.4038461446762085,0.16309171597633138,0.40384615384615385,0.23234984193888303,0.40384615384615385
